id,concept
1,Crazy Frog
2,Easter Bunny
3,Kewpie
4,Miss Cleo
5,Mr. Clean
6,Pink Panther
7,Agent Smith
8,Ernest P. Worrell
9,Advertising
10,Automobile
11,Felix the Cat
12,Michelin Man
13,Morpheus
14,Big Boy Restaurants
15,Hello Kitty
16,Alfred E. Neuman
17,Skipper
18,Strawberry Shortcake
19,Bozo the Clown
20,Bugs Bunny
21,Betty Crocker
22,Kermit the Frog
23,Mac Tonight
24,Mario
25,Ronald McDonald
26,Minions
27,Mickey
28,Mr. Peanut
29,Pikachu
30,Pillsbury Doughboy
31,Scooby-Doo
32,Sonic the Hedgehog
33,Spirit of Ecstasy
34,SpongeBob
35,Wendy Thomas
36,Tinker Bell
37,Woody Woodpecker
38,Easter egg
39,Aunt Jemima
40,Barbie
41,Nancy Green
42,Playboy Bunny
43,Food
44,Chef Boyardee
45,Willy Wonka
46,Billy the Puppet
47,Donald Duck
48,Fred Flintstone
49,Ken
50,Leo the Lion
51,Lucky Charms
52,Marlboro Man
53,Max Headroom
54,The Most Interesting Man in the World
55,The Noid
56,Eddie
57,Public service announcement
58,Smokey Bear
59,Mascot
60,Mass media
61,History of advertising
62,Cola wars
63,Email spam
64,Fear of missing out
65,Guerrilla marketing
66,Social media marketing
67,A minor
68,A.E.I.O.U.
69,A7V
70,Snoh Aalegra
71,Aaliyah
72,Aam Aadmi Party
73,Aardman Animations
74,Animation
75,Casper the Friendly Ghost
76,Daffy Duck
77,Garfield
78,Godzilla
79,Gollum
80,King Kong
81,Jimmy Neutron
82,Oswald the Lucky Rabbit
83,Popeye
84,Salad Fingers
85,Batgirl
86,Huntress
87,Betty Boop
88,Daphne Blake
89,Lola Bunny
90,Catwoman
91,The Chipettes
92,Betty Cooper
93,Wendy Darling
94,Della Duck
95,Daisy Duck
96,Emma Frost
97,Dorothy Gale
98,Jean Grey
99,Veronica Lodge
100,Maleficent
