task_id,erase_type,target_concepts,target_count,content,content_role,model,anchor_mode,anchor_concepts,subspace_anchor_concepts,subspace_anchor_count,configured_residual_rank,applied_residual_rank,target_global_residual_count,params,aug_num,threshold,retain_scale,seed,inference_timesteps,guidance_scale,n_images,clip_score,fid_vs_original,image_manifest_sha256,run_fingerprint
snoopy,instance,Snoopy,1,Snoopy,target,original,,,,,,,,,,,,0,20,7.5,80,28.7814199924469,0.0,5b985f8ceab7133c2df4a88b956fa9d4405dbf065078a85b86c197ecfef7c76a,3690a401937074e2f3edeb964c664cc094d68319830ef25d3bc5ecf7217739de
snoopy,instance,Snoopy,1,Mickey,non_target,original,,,,,,,,,,,,0,20,7.5,80,26.416752338409424,0.0,7714a2eddd5850f7597c3fbc134c8269e772e7406c44426efded8e29a452405e,3690a401937074e2f3edeb964c664cc094d68319830ef25d3bc5ecf7217739de
snoopy,instance,Snoopy,1,Spongebob,non_target,original,,,,,,,,,,,,0,20,7.5,80,27.624553442001343,0.0,92a04151dc086727802edaffb2229022051b2da257f7c4d263672a8c6d595baf,3690a401937074e2f3edeb964c664cc094d68319830ef25d3bc5ecf7217739de
snoopy,instance,Snoopy,1,Pikachu,non_target,original,,,,,,,,,,,,0,20,7.5,80,27.962318658828735,0.0,3805c640684fd36e14af8050f28b878bfda93206cf3d824131b0c494a300eae6,3690a401937074e2f3edeb964c664cc094d68319830ef25d3bc5ecf7217739de
snoopy,instance,Snoopy,1,Hello Kitty,non_target,original,,,,,,,,,,,,0,20,7.5,80,27.907118797302246,0.0,4df5a56c11110573857e57257891818821f2762cda89f3631bde1eb7896e4f4b,3690a401937074e2f3edeb964c664cc094d68319830ef25d3bc5ecf7217739de
snoopy,instance,Snoopy,1,coco,coco,original,,,,,,,,,,,,0,20,7.5,100,26.373212575912476,0.0,933907acd07e2a54ba3a64d1f8d4e9da4c203c9ac6749c224f97d6b63352c68b,3690a401937074e2f3edeb964c664cc094d68319830ef25d3bc5ecf7217739de
snoopy,instance,Snoopy,1,Snoopy,target,legacy,legacy,,,,,,,V,10,0.1,1.0,0,20,7.5,80,24.07454252243042,197.97187075159866,005fd9d4a2ad2568c4161f71dd7bbedcd5a792e97d7f7e1f86230a40b86b5e8c,3690a401937074e2f3edeb964c664cc094d68319830ef25d3bc5ecf7217739de
snoopy,instance,Snoopy,1,Mickey,non_target,legacy,legacy,,,,,,,V,10,0.1,1.0,0,20,7.5,80,26.721495985984802,76.73640804847338,12ff9cf8618cbea53fd31bfbbf901b5149c578c81f15bca92bed7a440ad940c1,3690a401937074e2f3edeb964c664cc094d68319830ef25d3bc5ecf7217739de
snoopy,instance,Snoopy,1,Spongebob,non_target,legacy,legacy,,,,,,,V,10,0.1,1.0,0,20,7.5,80,27.823253870010376,73.9849846691551,5ab03b670ae9c056ca33b513cac077a7d9ee03f8eac785ec8b7f56d6857ec61b,3690a401937074e2f3edeb964c664cc094d68319830ef25d3bc5ecf7217739de
snoopy,instance,Snoopy,1,Pikachu,non_target,legacy,legacy,,,,,,,V,10,0.1,1.0,0,20,7.5,80,27.94116497039795,44.753064981894624,e7a683889538685e0ef0ff59a41f3863fc520ccb97b8bd0986bfeec011623a6c,3690a401937074e2f3edeb964c664cc094d68319830ef25d3bc5ecf7217739de
snoopy,instance,Snoopy,1,Hello Kitty,non_target,legacy,legacy,,,,,,,V,10,0.1,1.0,0,20,7.5,80,27.873873710632324,49.18938052421731,dd8130b315725158869e9a51b500e13f9460a79ca588cc97909e2cc64c2afd23,3690a401937074e2f3edeb964c664cc094d68319830ef25d3bc5ecf7217739de
snoopy,instance,Snoopy,1,coco,coco,legacy,legacy,,,,,,,V,10,0.1,1.0,0,20,7.5,100,26.15608286857605,46.41309172891681,a93231f4f9e7e9e57bc5a4f2daa0032423e23b3af09063bed154ce0cf6048382,3690a401937074e2f3edeb964c664cc094d68319830ef25d3bc5ecf7217739de
snoopy,instance,Snoopy,1,Snoopy,target,target_global_pairwise_residual_subspace,target_global_pairwise_residual_subspace,,"[""Cheerful Cartoon Mouse"", ""Playful Cartoon Dog"", ""Goofy Sea Creature"", ""Cute Electric Fantasy Creature"", ""Minimalist Cute Cat"", ""Friendly Woodland Mascot"", ""Retro Animal Cartoon"", ""Kawaii Fantasy Mascot"", ""Funny Everyday Hero"", ""Universal Cute Mascot""]",10,30,10,10,V,0,0.034,1.0,0,20,7.5,80,21.61327600479126,198.26992332874764,827aee4e6b127c1a6908a81f535da6a17949a2bafd91d479e90f4a14f2230f50,3690a401937074e2f3edeb964c664cc094d68319830ef25d3bc5ecf7217739de
