model,subspace_rank,split,n_images,n_faces_detected,n_identity_correct,face_detection_rate,conditional_accuracy_CE_Eval,identity_hit_rate,mean_matched_top1_probability
negative_target_normalized_residual_subspace,10,erase,500,497,17,0.994,0.03420523138832998,0.034,0.02314644382
negative_target_normalized_residual_subspace,10,retain,500,495,390,0.99,0.7878787878787878,0.78,0.71841370222
negative_target_normalized_residual_subspace,20,erase,500,497,4,0.994,0.008048289738430584,0.008,0.0032694208199999996
negative_target_normalized_residual_subspace,20,retain,500,494,400,0.988,0.8097165991902834,0.8,0.73359807952
negative_target_normalized_residual_subspace,30,erase,500,497,4,0.994,0.008048289738430584,0.008,0.0043151011199999995
negative_target_normalized_residual_subspace,30,retain,500,493,418,0.986,0.847870182555781,0.836,0.76842638784
negative_target_normalized_residual_subspace,40,erase,500,498,3,0.996,0.006024096385542169,0.006,0.0038983325
negative_target_normalized_residual_subspace,40,retain,500,497,408,0.994,0.8209255533199196,0.816,0.75385554606
negative_target_normalized_residual_subspace,50,erase,500,498,2,0.996,0.004016064257028112,0.004,0.0032009406
negative_target_normalized_residual_subspace,50,retain,500,492,411,0.984,0.8353658536585366,0.822,0.76443811632
negative_target_normalized_residual_subspace,60,erase,500,499,3,0.998,0.006012024048096192,0.006,0.00261110766
negative_target_normalized_residual_subspace,60,retain,500,496,414,0.992,0.8346774193548387,0.828,0.7641356940800001
negative_target_normalized_residual_subspace,70,erase,500,498,0,0.996,0.0,0.0,0.0
negative_target_normalized_residual_subspace,70,retain,500,497,413,0.994,0.8309859154929577,0.826,0.76218257836
negative_target_normalized_residual_subspace,80,erase,500,500,2,1.0,0.004,0.004,0.002112171411514282
negative_target_normalized_residual_subspace,80,retain,500,497,410,0.994,0.8249496981891348,0.82,0.7621865376000001
negative_target_normalized_residual_subspace,90,erase,500,498,2,0.996,0.004016064257028112,0.004,0.00182829486
negative_target_normalized_residual_subspace,90,retain,500,496,416,0.992,0.8387096774193549,0.832,0.77124982478
negative_target_normalized_residual_subspace,100,erase,500,498,1,0.996,0.002008032128514056,0.002,0.00024944143999999996
negative_target_normalized_residual_subspace,100,retain,500,499,400,0.998,0.8016032064128257,0.8,0.74165868148
