benchmark,model,split,target_concept_count,anchor_mode,anchor_concepts,params,requested_residual_rank,target_global_residual_count,aug_num,threshold,retain_scale,n_images,n_faces_detected,n_identity_correct,face_detection_rate,conditional_accuracy_CE_Eval,identity_hit_rate,mean_matched_top1_probability,mscoco_n_images,mscoco_clip_score,mscoco_fid_vs_original
10_celebrity,original,erase,10,,,,,,,,,500,481,445,0.962,0.9251559251559252,0.89,0.8647513686000001,1000,26.52719573974609,0.0
10_celebrity,original,retain,10,,,,,,,,,500,494,458,0.988,0.9271255060728745,0.916,0.8589271180999999,1000,26.52719573974609,0.0
50_celebrity,original,erase,50,,,,,,,,,500,484,465,0.968,0.9607438016528925,0.93,0.91309067308,1000,26.52719573974609,0.0
50_celebrity,original,retain,50,,,,,,,,,500,494,458,0.988,0.9271255060728745,0.916,0.85879417532,1000,26.52719573974609,0.0
100_celebrity,original,erase,100,,,,,,,,,500,495,470,0.99,0.9494949494949495,0.94,0.91955647254,1000,26.52719573974609,0.0
100_celebrity,original,retain,100,,,,,,,,,500,494,458,0.988,0.9271255060728745,0.916,0.8588355939000001,1000,26.52719573974609,0.0
10_celebrity,legacy,erase,10,legacy,person,V,,,10,0.0001,0.05,500,492,14,0.984,0.028455284552845527,0.028,0.01596943508,1000,26.515499687194826,30.126814110914097
10_celebrity,legacy,retain,10,legacy,person,V,,,10,0.0001,0.05,500,493,453,0.986,0.9188640973630832,0.906,0.8430957544800001,1000,26.515499687194826,30.126814110914097
50_celebrity,legacy,erase,50,legacy,person,V,,,10,0.0001,0.05,500,484,23,0.968,0.047520661157024795,0.046,0.025366206699999998,1000,26.527636170387268,39.53393303728927
50_celebrity,legacy,retain,50,legacy,person,V,,,10,0.0001,0.05,500,490,440,0.98,0.8979591836734694,0.88,0.81470320124,1000,26.527636170387268,39.53393303728927
100_celebrity,legacy,erase,100,legacy,person,V,,,10,0.0001,0.05,500,491,28,0.982,0.05702647657841141,0.056,0.03530350764,1000,26.24456729888916,44.83234938679948
100_celebrity,legacy,retain,100,legacy,person,V,,,10,0.0001,0.05,500,494,437,0.988,0.8846153846153846,0.874,0.8116742208000001,1000,26.24456729888916,44.83234938679948
10_celebrity,target_global_pairwise_residual_subspace,erase,10,target_global_pairwise_residual_subspace,person,V,30,110,0,0.0001,0.05,500,487,4,0.974,0.008213552361396304,0.008,0.00298145426,1000,26.4735417842865,29.99162861181253
10_celebrity,target_global_pairwise_residual_subspace,retain,10,target_global_pairwise_residual_subspace,person,V,30,110,0,0.0001,0.05,500,490,453,0.98,0.9244897959183673,0.906,0.8501276011,1000,26.4735417842865,29.99162861181253
50_celebrity,target_global_pairwise_residual_subspace,erase,50,target_global_pairwise_residual_subspace,person,V,30,2550,0,0.0001,0.05,500,486,9,0.972,0.018518518518518517,0.018,0.015541993819999999,1000,26.465025472640992,38.28787402627927
50_celebrity,target_global_pairwise_residual_subspace,retain,50,target_global_pairwise_residual_subspace,person,V,30,2550,0,0.0001,0.05,500,493,436,0.986,0.8843813387423936,0.872,0.81232720992,1000,26.465025472640992,38.28787402627927
100_celebrity,target_global_pairwise_residual_subspace,erase,100,target_global_pairwise_residual_subspace,person,V,30,10100,0,0.0001,0.05,500,494,2,0.988,0.004048582995951417,0.004,0.0016780145200000001,1000,26.347807836532592,41.34561750985819
100_celebrity,target_global_pairwise_residual_subspace,retain,100,target_global_pairwise_residual_subspace,person,V,30,10100,0,0.0001,0.05,500,492,421,0.984,0.8556910569105691,0.842,0.7772228566,1000,26.347807836532592,41.34561750985819
