benchmark,model,split,target_concept_count,anchor_mode,anchor_concepts,params,requested_residual_rank,target_global_residual_count,aug_num,threshold,retain_scale,n_images,n_faces_detected,n_identity_correct,face_detection_rate,conditional_accuracy_CE_Eval,identity_hit_rate,mean_matched_top1_probability
10_celebrity,original,erase,10,,,,,,,,,500,481,449,0.962,0.9334719334719335,0.898,0.8664482253599999
10_celebrity,original,retain,10,,,,,,,,,500,493,453,0.986,0.9188640973630832,0.906,0.85134523386
50_celebrity,original,erase,50,,,,,,,,,500,484,463,0.968,0.9566115702479339,0.926,0.90961958586
50_celebrity,original,retain,50,,,,,,,,,500,493,453,0.986,0.9188640973630832,0.906,0.85117036968
100_celebrity,original,erase,100,,,,,,,,,500,496,469,0.992,0.9455645161290323,0.938,0.91740808696
100_celebrity,original,retain,100,,,,,,,,,500,493,453,0.986,0.9188640973630832,0.906,0.8512858188800001
10_celebrity,legacy,erase,10,legacy,person,V,,,10,0.0001,0.05,500,495,11,0.99,0.022222222222222223,0.022,0.015859072599999996
10_celebrity,legacy,retain,10,legacy,person,V,,,10,0.0001,0.05,500,491,451,0.982,0.9185336048879837,0.902,0.84224022006
50_celebrity,legacy,erase,50,legacy,person,V,,,10,0.0001,0.05,500,485,16,0.97,0.032989690721649485,0.032,0.016308648679999996
50_celebrity,legacy,retain,50,legacy,person,V,,,10,0.0001,0.05,500,491,449,0.982,0.9144602851323829,0.898,0.8351863658199999
100_celebrity,legacy,erase,100,legacy,person,V,,,10,0.0001,0.05,500,491,28,0.982,0.05702647657841141,0.056,0.03776021716
100_celebrity,legacy,retain,100,legacy,person,V,,,10,0.0001,0.05,500,494,434,0.988,0.8785425101214575,0.868,0.8031625162
10_celebrity,target_global_pairwise_residual_subspace,erase,10,target_global_pairwise_residual_subspace,person,V,30,110,0,0.0001,0.05,500,486,5,0.972,0.0102880658436214,0.01,0.0043467290599999995
10_celebrity,target_global_pairwise_residual_subspace,retain,10,target_global_pairwise_residual_subspace,person,V,30,110,0,0.0001,0.05,500,491,452,0.982,0.9205702647657841,0.904,0.84981330528
50_celebrity,target_global_pairwise_residual_subspace,erase,50,target_global_pairwise_residual_subspace,person,V,30,2550,0,0.0001,0.05,500,486,9,0.972,0.018518518518518517,0.018,0.015017047980000002
50_celebrity,target_global_pairwise_residual_subspace,retain,50,target_global_pairwise_residual_subspace,person,V,30,2550,0,0.0001,0.05,500,491,440,0.982,0.8961303462321792,0.88,0.8203362793400001
100_celebrity,target_global_pairwise_residual_subspace,erase,100,target_global_pairwise_residual_subspace,person,V,30,10100,0,0.0001,0.05,500,494,3,0.988,0.006072874493927126,0.006,0.00167780308
100_celebrity,target_global_pairwise_residual_subspace,retain,100,target_global_pairwise_residual_subspace,person,V,30,10100,0,0.0001,0.05,500,492,428,0.984,0.8699186991869918,0.856,0.7839001627
