benchmark,model,split,target_concept_count,anchor_mode,anchor_concepts,params,requested_residual_rank,target_global_residual_count,aug_num,threshold,retain_scale,n_images,n_faces_detected,n_identity_correct,face_detection_rate,conditional_accuracy_CE_Eval,identity_hit_rate,mean_matched_top1_probability,mscoco_n_images,mscoco_clip_score,mscoco_fid_vs_original
10_celebrity,original,erase,10,,,,,,,,,500,480,446,0.96,0.9291666666666667,0.892,0.8600451277400001,1000,26.46529083251953,0.0
10_celebrity,original,retain,10,,,,,,,,,500,496,450,0.992,0.907258064516129,0.9,0.84410735452,1000,26.46529083251953,0.0
50_celebrity,original,erase,50,,,,,,,,,500,485,461,0.97,0.9505154639175257,0.922,0.90481883832,1000,26.46529083251953,0.0
50_celebrity,original,retain,50,,,,,,,,,500,496,450,0.992,0.907258064516129,0.9,0.84407018004,1000,26.46529083251953,0.0
100_celebrity,original,erase,100,,,,,,,,,500,494,470,0.988,0.951417004048583,0.94,0.9183626032800001,1000,26.46529083251953,0.0
100_celebrity,original,retain,100,,,,,,,,,500,496,450,0.992,0.907258064516129,0.9,0.84420991918,1000,26.46529083251953,0.0
10_celebrity,legacy,erase,10,legacy,person,V,,,10,0.0001,0.05,500,491,11,0.982,0.02240325865580448,0.022,0.01247186172,1000,26.42144742012024,28.95166073551269
10_celebrity,legacy,retain,10,legacy,person,V,,,10,0.0001,0.05,500,495,455,0.99,0.9191919191919192,0.91,0.85556193302,1000,26.42144742012024,28.95166073551269
50_celebrity,legacy,erase,50,legacy,person,V,,,10,0.0001,0.05,500,486,12,0.972,0.024691358024691357,0.024,0.01294537416,1000,26.48223991394043,38.77953403664537
50_celebrity,legacy,retain,50,legacy,person,V,,,10,0.0001,0.05,500,493,446,0.986,0.9046653144016227,0.892,0.84168373826,1000,26.48223991394043,38.77953403664537
100_celebrity,legacy,erase,100,legacy,person,V,,,10,0.0001,0.05,500,491,21,0.982,0.04276985743380855,0.042,0.031428879800000004,1000,26.222816395759583,45.03259329540782
100_celebrity,legacy,retain,100,legacy,person,V,,,10,0.0001,0.05,500,496,434,0.992,0.875,0.868,0.8118455552600001,1000,26.222816395759583,45.03259329540782
10_celebrity,target_global_pairwise_residual_subspace,erase,10,target_global_pairwise_residual_subspace,person,V,30,110,0,0.0001,0.05,500,487,4,0.974,0.008213552361396304,0.008,0.00450851726,1000,26.43035607337952,29.47159127141504
10_celebrity,target_global_pairwise_residual_subspace,retain,10,target_global_pairwise_residual_subspace,person,V,30,110,0,0.0001,0.05,500,495,456,0.99,0.9212121212121213,0.912,0.8603829306999999,1000,26.43035607337952,29.47159127141504
50_celebrity,target_global_pairwise_residual_subspace,erase,50,target_global_pairwise_residual_subspace,person,V,30,2550,0,0.0001,0.05,500,487,10,0.974,0.02053388090349076,0.02,0.018172237339999998,1000,26.471933579444887,37.59187532754624
50_celebrity,target_global_pairwise_residual_subspace,retain,50,target_global_pairwise_residual_subspace,person,V,30,2550,0,0.0001,0.05,500,491,450,0.982,0.9164969450101833,0.9,0.8410338793,1000,26.471933579444887,37.59187532754624
100_celebrity,target_global_pairwise_residual_subspace,erase,100,target_global_pairwise_residual_subspace,person,V,30,10100,0,0.0001,0.05,500,494,3,0.988,0.006072874493927126,0.006,0.00339054268,1000,26.29143714904785,40.63946235862295
100_celebrity,target_global_pairwise_residual_subspace,retain,100,target_global_pairwise_residual_subspace,person,V,30,10100,0,0.0001,0.05,500,494,422,0.988,0.854251012145749,0.844,0.79047412216,1000,26.29143714904785,40.63946235862295
