label,Adam Driver,Adriana Lima,Amber Heard,Amy Adams,Andrew Garfield,Angelina Jolie,Anjelica Huston,Anna Faris,Anna Kendrick,Anne Hathaway,Arnold Schwarzenegger,Barack Obama,Beth Behrs,Bill Clinton,Bob Dylan,Bob Marley,Bradley Cooper,Bruce Willis,Bryan Cranston,Cameron Diaz,Channing Tatum,Charlie Sheen,Charlize Theron,Chris Evans,Chris Hemsworth,Chris Pine,Chuck Norris,Courteney Cox,Demi Lovato,Drake,Drew Barrymore,Dwayne Johnson,Ed Sheeran,Elon Musk,Elvis Presley,Emma Stone,Frida Kahlo,George Clooney,Glenn Close,Gwyneth Paltrow,Harrison Ford,Hillary Clinton,Hugh Jackman,Idris Elba,Jake Gyllenhaal,James Franco,Jared Leto,Jason Momoa,Jennifer Aniston,Jennifer Lawrence,person,<empty>
Adam Driver,1.0,0.7372769117355347,0.743873119354248,0.7472485899925232,0.8362305760383606,0.7706220149993896,0.7620862722396851,0.7819869518280029,0.7970478534698486,0.8222222924232483,0.7984923124313354,0.8017115592956543,0.7437260150909424,0.7906464338302612,0.7479808926582336,0.7275840640068054,0.8379775285720825,0.8049260377883911,0.7819530963897705,0.7777364253997803,0.816926896572113,0.6412128210067749,0.57154381275177,0.7639889717102051,0.8209148645401001,0.8158859014511108,0.7690092921257019,0.7621046304702759,0.8293546438217163,0.7937012910842896,0.7662050724029541,0.8309630155563354,0.8174492120742798,0.7748764753341675,0.7866213321685791,0.7381711006164551,0.7721011638641357,0.8419935703277588,0.8014192581176758,0.7471849918365479,0.8362702131271362,0.8053549528121948,0.8293248414993286,0.8263026475906372,0.7735158205032349,0.8482445478439331,0.8150075674057007,0.8008179664611816,0.8147454261779785,0.744655191898346,0.7197675108909607,-0.25531846284866333
Adriana Lima,0.7372769117355347,1.0,0.7520883083343506,0.7198006510734558,0.7033814787864685,0.7918447256088257,0.7250782251358032,0.7161403298377991,0.7373886108398438,0.7061935663223267,0.7201968431472778,0.7376861572265625,0.6157207489013672,0.5999662280082703,0.6619715690612793,0.6072812080383301,0.6683945655822754,0.6070034503936768,0.6017488241195679,0.7826763391494751,0.7623496055603027,0.561335563659668,0.6524197459220886,0.5864534378051758,0.6443533301353455,0.7156401872634888,0.6220789551734924,0.7309131622314453,0.684499204158783,0.6651530265808105,0.7050716280937195,0.669256329536438,0.7216201424598694,0.640963077545166,0.6786817312240601,0.6906529664993286,0.7264008522033691,0.7211688160896301,0.6977115869522095,0.6807284355163574,0.6493191719055176,0.660984456539154,0.7237988710403442,0.7369581460952759,0.7169631719589233,0.7128703594207764,0.7371156811714172,0.7159448862075806,0.7162283658981323,0.6637411117553711,0.6271485686302185,-0.2681404948234558
Amber Heard,0.743873119354248,0.7520883083343506,0.9999998807907104,0.7811315059661865,0.7488684058189392,0.8217058181762695,0.7802436351776123,0.7119055390357971,0.7550036311149597,0.7529586553573608,0.7527027130126953,0.751521110534668,0.7298291921615601,0.6989538669586182,0.6987529993057251,0.6452436447143555,0.7193847894668579,0.7063082456588745,0.7210732698440552,0.8255774974822998,0.7817146182060242,0.7145945429801941,0.6328830122947693,0.6669800281524658,0.7350751757621765,0.8144316077232361,0.7104208469390869,0.7743722200393677,0.7362793684005737,0.644237756729126,0.7833587527275085,0.7143455743789673,0.7395700216293335,0.7200400829315186,0.7391937971115112,0.7925716042518616,0.6913411617279053,0.8088164925575256,0.764380931854248,0.8159137964248657,0.688245952129364,0.7144535183906555,0.7533661127090454,0.7429083585739136,0.7200786471366882,0.7845457792282104,0.7157330513000488,0.7869236469268799,0.794743537902832,0.7306305766105652,0.6377031207084656,-0.27346915006637573
Amy Adams,0.7472485899925232,0.7198006510734558,0.7811315059661865,0.9999998807907104,0.7716426849365234,0.7820349931716919,0.7382327318191528,0.7646071314811707,0.8066527843475342,0.7670830488204956,0.7797012329101562,0.7768073081970215,0.7336084842681885,0.7190239429473877,0.7249850034713745,0.6936421990394592,0.7650986313819885,0.7592820525169373,0.7445387244224548,0.8021341562271118,0.7727667093276978,0.6880849599838257,0.6336983442306519,0.7163295745849609,0.6768454909324646,0.8125261068344116,0.736929178237915,0.7542844414710999,0.75477534532547,0.7374789714813232,0.7957609295845032,0.7680611610412598,0.7537887096405029,0.7353078722953796,0.6916168332099915,0.7822034358978271,0.6839163303375244,0.7801120281219482,0.7663604617118835,0.7548388838768005,0.7274577617645264,0.7227591276168823,0.7547580599784851,0.7818464636802673,0.7658720016479492,0.7659005522727966,0.7817488312721252,0.776091456413269,0.7756513953208923,0.7114582657814026,0.6815216541290283,-0.22934964299201965
Andrew Garfield,0.8362305760383606,0.7033814787864685,0.7488684058189392,0.7716426849365234,1.0,0.7568748593330383,0.7052770853042603,0.7443130612373352,0.7336673736572266,0.8104705810546875,0.8450173139572144,0.7696093916893005,0.7697058916091919,0.8020758628845215,0.7749783992767334,0.7423917055130005,0.8796427249908447,0.8230177760124207,0.8239305019378662,0.8243532180786133,0.7770248651504517,0.7055453062057495,0.5128774642944336,0.8228437900543213,0.8394918441772461,0.8887947201728821,0.7756397724151611,0.7358368635177612,0.7963155508041382,0.7282735705375671,0.7982479333877563,0.7885481715202332,0.7755147218704224,0.7676910161972046,0.7384385466575623,0.7644316554069519,0.7501727938652039,0.8429877758026123,0.8008531332015991,0.7819048762321472,0.8476928472518921,0.8051289916038513,0.8152412176132202,0.7914468050003052,0.6852298974990845,0.8316526412963867,0.797099232673645,0.7848755121231079,0.800734281539917,0.8117749094963074,0.7347285151481628,-0.22482623159885406
Angelina Jolie,0.7706220149993896,0.7918447256088257,0.8217058181762695,0.7820349931716919,0.7568748593330383,1.0,0.8329702615737915,0.7280479669570923,0.7812273502349854,0.7733185887336731,0.8160442113876343,0.8125506639480591,0.7148554921150208,0.7340476512908936,0.7509867548942566,0.6879277229309082,0.7620063424110413,0.7417692542076111,0.7055947780609131,0.8561779260635376,0.813389241695404,0.7212693691253662,0.6604160666465759,0.6613943576812744,0.6970486640930176,0.7722489237785339,0.7015670537948608,0.7832739353179932,0.7954952716827393,0.7012053728103638,0.8208644390106201,0.7795347571372986,0.7568162679672241,0.7448176741600037,0.7937848567962646,0.7948898673057556,0.7627938985824585,0.8334351181983948,0.7657500505447388,0.7583562135696411,0.7214404344558716,0.7788701057434082,0.7796547412872314,0.7893384695053101,0.7350090146064758,0.8095556497573853,0.7833852767944336,0.8046883344650269,0.813559353351593,0.7650593519210815,0.6659328937530518,-0.23378275334835052
Anjelica Huston,0.7620862722396851,0.7250782251358032,0.7802436351776123,0.7382327318191528,0.7052770853042603,0.8329702615737915,0.9999997615814209,0.7550992965698242,0.7724766135215759,0.7331383228302002,0.7383167743682861,0.7563347816467285,0.733281135559082,0.6545295119285583,0.6861168146133423,0.6499136090278625,0.7216429710388184,0.7316845655441284,0.7259407639503479,0.8114233016967773,0.7712509632110596,0.6994468569755554,0.7000921368598938,0.5931966304779053,0.6524277925491333,0.7752852439880371,0.7041268944740295,0.8177971243858337,0.7489821910858154,0.6557213664054871,0.7724530696868896,0.758533775806427,0.7430853843688965,0.655350923538208,0.707158088684082,0.7680524587631226,0.6871465444564819,0.8044024705886841,0.7811710834503174,0.7031810283660889,0.7038471698760986,0.7093890905380249,0.7544950246810913,0.8142416477203369,0.7464064955711365,0.757546067237854,0.7489708662033081,0.7778282761573792,0.7640687227249146,0.7055466175079346,0.6129466891288757,-0.25182515382766724
Anna Faris,0.7819869518280029,0.7161403298377991,0.7119055390357971,0.7646071314811707,0.7443130612373352,0.7280479669570923,0.7550992965698242,0.9999998807907104,0.7855789661407471,0.7624623775482178,0.7025375962257385,0.6986991763114929,0.755807638168335,0.687780499458313,0.6902666091918945,0.6414679884910583,0.7239714860916138,0.743228554725647,0.7595717906951904,0.7629762887954712,0.7576330900192261,0.6313735842704773,0.6949962973594666,0.6886649131774902,0.7286468148231506,0.7621015906333923,0.691091001033783,0.78736811876297,0.7342143058776855,0.6672388911247253,0.7886995077133179,0.7056580781936646,0.7455886602401733,0.6921075582504272,0.7454785704612732,0.7571016550064087,0.7336328029632568,0.7904887199401855,0.7053175568580627,0.7439254522323608,0.7336203455924988,0.7034555673599243,0.69948810338974,0.8149253129959106,0.8012775182723999,0.7467219829559326,0.7277689576148987,0.7187008857727051,0.7717328667640686,0.6517346501350403,0.6607441902160645,-0.31317245960235596
Anna Kendrick,0.7970478534698486,0.7373886108398438,0.7550036311149597,0.8066527843475342,0.7336673736572266,0.7812273502349854,0.7724766135215759,0.7855789661407471,0.9999999403953552,0.8014539480209351,0.7145313024520874,0.7686311602592468,0.7132193446159363,0.6675870418548584,0.6981756687164307,0.6257035732269287,0.6947653293609619,0.7060171365737915,0.7184343934059143,0.7522127032279968,0.7534900903701782,0.655048131942749,0.5986086130142212,0.6536300778388977,0.6834629774093628,0.7612682580947876,0.681562602519989,0.699764609336853,0.7546721696853638,0.6708799600601196,0.7611024975776672,0.7232577800750732,0.7745674848556519,0.7277182340621948,0.6753063797950745,0.8198633790016174,0.7370645403862,0.7896057367324829,0.7400051951408386,0.73874431848526,0.6975041627883911,0.7136328220367432,0.7124789357185364,0.7760874032974243,0.7903779745101929,0.7641004323959351,0.7505144476890564,0.7241411209106445,0.7835162281990051,0.6616030931472778,0.6308525800704956,-0.23576906323432922
Anne Hathaway,0.8222222924232483,0.7061935663223267,0.7529586553573608,0.7670830488204956,0.8104705810546875,0.7733185887336731,0.7331383228302002,0.7624623775482178,0.8014539480209351,0.9999998807907104,0.8132070302963257,0.7237126231193542,0.8168536424636841,0.7386500239372253,0.7281832695007324,0.7286980152130127,0.8071050047874451,0.8142927885055542,0.7941188812255859,0.7944803237915039,0.7961992025375366,0.6274227499961853,0.5241793990135193,0.7588717937469482,0.8169527053833008,0.8058143854141235,0.7656670808792114,0.7528969049453735,0.7684444785118103,0.6897993087768555,0.7786614894866943,0.7525289058685303,0.7356283664703369,0.7543787956237793,0.6880373954772949,0.8455355167388916,0.7395030856132507,0.8275930881500244,0.7573432922363281,0.8547999858856201,0.7457002997398376,0.749781608581543,0.8097745776176453,0.7903766632080078,0.6912393569946289,0.8017239570617676,0.758012056350708,0.7282202243804932,0.8502070903778076,0.7792418003082275,0.7007769346237183,-0.2508983016014099
